x3everdrop,stu_id,female,black,hisp,asian,other,age,agesq,g11ses,g9ses,g11math,g9math,hs_par,lfaminc0811,twoparguar,singlepar,lesshalf,g9nonnative,g9partalkclg,g9schtalkclg,g11catholic,g11otherprivate,g9catholic,g9otherprivate,g11city,g11suburb,g11town,g11northeast,g11midwest,g11south,g9city,g9suburb,g9town,g9northeast,g9midwest,g9south,m_s2controlsborn_yes,s2mcontrolsborn_yes,m_s2controlsstoptrying_yes,s2mcontrolsstoptrying_yes,m_s2controlschallenge_yes,s2mcontrolschallenge_yes,repeatg9,high_sci_nosci,high_sci_gensci,high_sci_spesci,high_sci_advsci,high_sci_apib,exp9ed_dontknow,exp9ed_hs,exp9ed_aa,exp9ed_ba,exp9ed_grad,exp11ed_hsbroad,exp11ed_aa,exp11ed_ba,exp11ed_grad,req_ed_occ09_notknow,reqed_occ09_hs,reqed_occ09_aa,reqed_occ09_ba,reqed_occ09_grad,req_ed_occ12_notknow,reqed_occ12_hs,reqed_occ12_aa,reqed_occ12_ba,reqed_occ12_grad
0,13990,0,0,0,0,0,15,225,.8589000105857849,1.552999973297119,69.78440093994141,53.30839920043945,1,10.93741,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,23979,1,0,1,0,0,15,225,-1.006500005722046,-1.12720000743866,49.6693000793457,45.91669845581055,0,9.1767044,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,19444,1,0,0,0,1,14,196,.3538999855518341,.3181000053882599,44.06489944458008,47.04550170898438,1,10.786142,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,23569,0,0,0,0,0,14,196,.9298999905586243,.7613000273704529,62.47529983520508,64.26210021972656,1,10.609818,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,11461,0,0,0,0,0,14,196,1.669999957084656,1.735499978065491,54.75510025024414,59.90090179443359,1,11.06252,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0,32658,1,0,0,0,0,14,196,1.322800040245056,1.11679995059967,50.46319961547852,56.55350112915039,1,11.45401,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,19321,0,0,0,0,1,14,196,-.6039000153541565,-.5770999789237976,31.6919994354248,50.78580093383789,0,9.7644911,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,11533,1,0,0,0,0,14,196,.1198000013828278,-.2304999977350235,49.11180114746094,42.67839813232422,1,10.784487,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,29901,0,0,0,0,0,15,225,.1146999970078468,.1756999939680099,51.47269821166992,48.4453010559082,1,9.7598848,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,22683,0,0,0,1,0,15,225,.9412000179290771,.7538999915122986,69.03160095214844,66.82559967041016,1,10.132216,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
